0604+09   CT ORI    
0604+26   TU GEM    
0604+43   RR AUR    
0604+43B  VAR SW    
0604+50   X AUR     
0604+50B  122 COMP S
0604+50C  102 COMP S
0605+09   GQ ORI    
0605+21   TV GEM    
0605+23   WY GEM    
0605+47   SS AUR    
0605+47B  138 VAR? S
0605+47C  108 COMP E
0606+21   NSV 2859  
0606+22   BU GEM    
0606+22B  72 COMP E 
0606+45   VV AUR    
0606+45B  NSV 2872  
0606-50   RW PUP    
0607+20   NSV 2869  
0607+27   SU GEM    
0607+46A  ST AUR    
0607+46B  VZ AUR    
0608+22   ETA GEM   
0608+28   V392 AUR  
0608-48   V347 PUP  
0608-60   RW PIC    
0609+15   V344 ORI  
0609+15B  VAR NW    
0609+28   KR AUR    
0609-45   DZ PUP    
0610-01   V345 ORI  
0611+15   CZ ORI    
0611+22   BD 22 1257
0611-16   NSV 2891  
0612+75   W CAM     
0612-59   V PIC     
0613+23   LU GEM    
0613-16   TY CMA    
0613-17A  UY CMA    
0613-17B  VAR A     
0613-17C  STAR NW   
0613-17D  112 COMP N
0613-30   EH CMA    
0614+14   BD 14 1247
0614-17A  UZ CMA    
0614-17B  VAR B     
0614-17C  VAR CMA   
0614-26   U CMA     
0615+05   V1056 ORI 
0615-02   NSV 2918  
0616+06   SV MON    
0616+14   RS ORI    
0616+22   MU GEM    
0616+47   V AUR     
0616+47B  STAR NW   
0616+47C  STAR NE   
0616-11   FR CMA    
0616-61   RZ PIC    
0617+03   FU MON    
0617+25   ZZ GEM    
